id,project,branch,change_id,subject,status,created,updated,submitted,reviewers,revisions,total_comment_count,number,current_revision,discussion_messages_count,reviewers_count,revisions_count,owner_account_id,owner_name,owner_username,is_owner_bot,commit_message,git_command,changed_files,files_count,commit_id,topic,added_lines,deleted_lines,insertions,deletions
openstack%2Fkolla-ansible~master~I089e161b1d81064673d0fa8bcb790547418d0d10,openstack/kolla-ansible,master,I089e161b1d81064673d0fa8bcb790547418d0d10,Add a condition into haproxy for solum,ABANDONED,2017-01-18 01:54:29.000000000,2017-01-18 13:55:47.000000000,,"[{'_account_id': 3}, {'_account_id': 19316}, {'_account_id': 22165}]","[{'number': 1, 'created': '2017-01-18 01:54:29.000000000', 'files': [], 'web_link': 'https://opendev.org/openstack/kolla-ansible/commit/27799cbc5073005e61a44aa324ab099e2175be65', 'message': 'Fix the condition for Solum haproxy\n\nTrivialFix\n\nChange-Id: I089e161b1d81064673d0fa8bcb790547418d0d10\n'}, {'number': 2, 'created': '2017-01-18 02:58:31.000000000', 'files': ['ansible/roles/haproxy/tasks/precheck.yml'], 'web_link': 'https://opendev.org/openstack/kolla-ansible/commit/7deddb544c6cde088432d255aa0ce50cc4594ae8', 'message': 'Add a condition into haproxy for solum\n\nTrivialFix\n\nChange-Id: I089e161b1d81064673d0fa8bcb790547418d0d10\n'}]",2,421617,7deddb544c6cde088432d255aa0ce50cc4594ae8,6,3,2,22165,,,0,"Add a condition into haproxy for solum

TrivialFix

Change-Id: I089e161b1d81064673d0fa8bcb790547418d0d10
",git fetch https://review.opendev.org/openstack/kolla-ansible refs/changes/17/421617/2 && git format-patch -1 --stdout FETCH_HEAD,['ansible/roles/haproxy/tasks/precheck.yml'],1,27799cbc5073005e61a44aa324ab099e2175be65,, - inventory_hostname in groups['haproxy'],,1,0
openstack%2Fopenstack-ansible-os_ceilometer~stable%2Fnewton~I0db5040013c1296e2ece9df730f0c4badf729e7b,openstack/openstack-ansible-os_ceilometer,stable/newton,I0db5040013c1296e2ece9df730f0c4badf729e7b,Bring consistency to tags,MERGED,2017-01-18 10:45:51.000000000,2017-01-18 13:55:30.000000000,2017-01-18 13:55:30.000000000,"[{'_account_id': 3}, {'_account_id': 2799}, {'_account_id': 6816}]","[{'number': 1, 'created': '2017-01-18 10:45:51.000000000', 'files': ['tasks/main.yml'], 'web_link': 'https://opendev.org/openstack/openstack-ansible-os_ceilometer/commit/603cfe10ca3ee5855f9af1e1cf66154d1f2e2d22', 'message': 'Bring consistency to tags\n\nSome tags were not applied on the highest level and forced duplication.\nWe apply here our practices to have role_name-(config|install) [1].\n\n[1]: http://docs.openstack.org/developer/openstack-ansible/developer-docs/contribute.html#ansible-style-guide\n\nChange-Id: I0db5040013c1296e2ece9df730f0c4badf729e7b\n(cherry picked from commit c800ef74879c9ab5ce3e0e45bc77f37826243e89)\n'}]",0,421814,603cfe10ca3ee5855f9af1e1cf66154d1f2e2d22,7,3,1,17068,,,0,"Bring consistency to tags

Some tags were not applied on the highest level and forced duplication.
We apply here our practices to have role_name-(config|install) [1].

[1]: http://docs.openstack.org/developer/openstack-ansible/developer-docs/contribute.html#ansible-style-guide

Change-Id: I0db5040013c1296e2ece9df730f0c4badf729e7b
(cherry picked from commit c800ef74879c9ab5ce3e0e45bc77f37826243e89)
",git fetch https://review.opendev.org/openstack/openstack-ansible-os_ceilometer refs/changes/14/421814/1 && git format-patch -1 --stdout FETCH_HEAD,['tasks/main.yml'],1,603cfe10ca3ee5855f9af1e1cf66154d1f2e2d22,artifacts, - ceilometer-config - ceilometer-config, - ceilometer-install - ceilometer-install - ceilometer-install - ceilometer-install,2,4
openstack%2Fopenstack-ansible~master~I7ac2aa7f80a3f400180918e936a7df297c34801a,openstack/openstack-ansible,master,I7ac2aa7f80a3f400180918e936a7df297c34801a,[CVE-2016-9587] Update Ansible,ABANDONED,2017-01-17 02:39:12.000000000,2017-01-18 13:54:33.000000000,,"[{'_account_id': 3}, {'_account_id': 2799}, {'_account_id': 7353}, {'_account_id': 24441}]","[{'number': 1, 'created': '2017-01-17 02:39:12.000000000', 'files': [], 'web_link': 'https://opendev.org/openstack/openstack-ansible/commit/d53c24db79eec85696605821e943f6770f4b5fe1', 'message': '[CVE-2016-9587] Update Ansible\n\nThis patch updates Ansible to resolve CVE-2016-9587.\n\nChange-Id: I7ac2aa7f80a3f400180918e936a7df297c34801a\nSigned-off-by: Kevin Carter <kevin.carter@rackspace.com>\n'}, {'number': 2, 'created': '2017-01-17 16:51:54.000000000', 'files': ['scripts/bootstrap-ansible.sh'], 'web_link': 'https://opendev.org/openstack/openstack-ansible/commit/c83c24e54baf20b27333212e2c485c856c2b21b2', 'message': '[CVE-2016-9587] Update Ansible\n\nThis patch updates Ansible to resolve CVE-2016-9587.\n\nChange-Id: I7ac2aa7f80a3f400180918e936a7df297c34801a\nSigned-off-by: Kevin Carter <kevin.carter@rackspace.com>\n'}]",0,421023,c83c24e54baf20b27333212e2c485c856c2b21b2,13,4,2,7353,,,0,"[CVE-2016-9587] Update Ansible

This patch updates Ansible to resolve CVE-2016-9587.

Change-Id: I7ac2aa7f80a3f400180918e936a7df297c34801a
Signed-off-by: Kevin Carter <kevin.carter@rackspace.com>
",git fetch https://review.opendev.org/openstack/openstack-ansible refs/changes/23/421023/1 && git format-patch -1 --stdout FETCH_HEAD,['scripts/bootstrap-ansible.sh'],1,d53c24db79eec85696605821e943f6770f4b5fe1,CVE-2016-9587,"export ANSIBLE_PACKAGE=${ANSIBLE_PACKAGE:-""ansible==2.2.1.0""}","export ANSIBLE_PACKAGE=${ANSIBLE_PACKAGE:-""ansible==2.2.0.0""}",1,1
openstack%2Fopenstack-ansible-rabbitmq_server~stable%2Fnewton~I93c7b6854ea3a6b4e255c1405767c80abcbdee1d,openstack/openstack-ansible-rabbitmq_server,stable/newton,I93c7b6854ea3a6b4e255c1405767c80abcbdee1d,Bring consistency to tags,MERGED,2017-01-18 10:44:00.000000000,2017-01-18 13:53:47.000000000,2017-01-18 13:53:47.000000000,"[{'_account_id': 3}, {'_account_id': 2799}, {'_account_id': 6816}]","[{'number': 1, 'created': '2017-01-18 10:44:00.000000000', 'files': ['tasks/main.yml', 'tasks/rabbitmq_install.yml'], 'web_link': 'https://opendev.org/openstack/openstack-ansible-rabbitmq_server/commit/abea19ad9e1f3ad71d53ecdf7bfecb408c5558ea', 'message': 'Bring consistency to tags\n\nSome tags were not applied on the highest level and forced duplication.\nWe apply here our practices to have role_name-(config|install) [1].\n\n[1]: http://docs.openstack.org/developer/openstack-ansible/developer-docs/contribute.html#ansible-style-guide\n\nChange-Id: I93c7b6854ea3a6b4e255c1405767c80abcbdee1d\n(cherry picked from commit bdf26ec72c22930411de00d3455738d87d3e04c4)\n'}]",0,421810,abea19ad9e1f3ad71d53ecdf7bfecb408c5558ea,7,3,1,17068,,,0,"Bring consistency to tags

Some tags were not applied on the highest level and forced duplication.
We apply here our practices to have role_name-(config|install) [1].

[1]: http://docs.openstack.org/developer/openstack-ansible/developer-docs/contribute.html#ansible-style-guide

Change-Id: I93c7b6854ea3a6b4e255c1405767c80abcbdee1d
(cherry picked from commit bdf26ec72c22930411de00d3455738d87d3e04c4)
",git fetch https://review.opendev.org/openstack/openstack-ansible-rabbitmq_server refs/changes/10/421810/1 && git format-patch -1 --stdout FETCH_HEAD,"['tasks/main.yml', 'tasks/rabbitmq_install.yml']",2,abea19ad9e1f3ad71d53ecdf7bfecb408c5558ea,artifacts, - rabbitmq_server-install - rabbitmq_server-install - rabbitmq_server-install - rabbitmq_server-config tags: - rabbitmq_server-config,,21,0
openstack%2Ftripleo-heat-templates~master~I10657d4688ac5134194952c0a6cff52cc43f77a0,openstack/tripleo-heat-templates,master,I10657d4688ac5134194952c0a6cff52cc43f77a0,Keep ceilometer Api enabled for Ocata,ABANDONED,2017-01-10 14:23:27.000000000,2017-01-18 13:52:34.000000000,,"[{'_account_id': 3}, {'_account_id': 3153}, {'_account_id': 8449}]","[{'number': 1, 'created': '2017-01-10 14:23:27.000000000', 'files': ['puppet/services/ceilometer-base.yaml'], 'web_link': 'https://opendev.org/openstack/tripleo-heat-templates/commit/2a81a8d77d41f36dc15384c2afa5d2e1aaddc07e', 'message': 'Keep ceilometer Api enabled for Ocata\n\nDue to the deprecation policy and giving our users more\ntime to switch to gnocchi/aodh/panko, We will continue\nrunning ceilometer API for one more release.\n\nThis will be set to false in pike release as per deprecation\npolicy guidelines. Users are expected to completely switch\nto other supported services by then.\n\nChange-Id: I10657d4688ac5134194952c0a6cff52cc43f77a0\n'}]",0,418414,2a81a8d77d41f36dc15384c2afa5d2e1aaddc07e,4,3,1,6924,,,0,"Keep ceilometer Api enabled for Ocata

Due to the deprecation policy and giving our users more
time to switch to gnocchi/aodh/panko, We will continue
running ceilometer API for one more release.

This will be set to false in pike release as per deprecation
policy guidelines. Users are expected to completely switch
to other supported services by then.

Change-Id: I10657d4688ac5134194952c0a6cff52cc43f77a0
",git fetch https://review.opendev.org/openstack/tripleo-heat-templates refs/changes/14/418414/1 && git format-patch -1 --stdout FETCH_HEAD,['puppet/services/ceilometer-base.yaml'],1,2a81a8d77d41f36dc15384c2afa5d2e1aaddc07e,enable-ceilo-api-default, default: true, default: false,1,1
openstack%2Fos-api-ref~master~I07fceacec113c87e285cd37e7e92566af3abeead,openstack/os-api-ref,master,I07fceacec113c87e285cd37e7e92566af3abeead,Update basic api ref example,ABANDONED,2016-10-13 15:05:07.000000000,2017-01-18 13:49:48.000000000,,"[{'_account_id': 3}, {'_account_id': 8099}, {'_account_id': 15293}]","[{'number': 1, 'created': '2016-10-13 15:05:07.000000000', 'files': [], 'web_link': 'https://opendev.org/openstack/os-api-ref/commit/58afed49b5c9108f8e5d6d7d8aa14643ad5138dd', 'message': '[WIP] Update basic api ref examples\n\nProvide a sample of api ref methods, parameters, and rst\nusage of extensions.  Include complex\nparameter types in request/response parameter stanzas.\n\nChange-Id: I07fceacec113c87e285cd37e7e92566af3abeead\nTODO: Update basic and warning tests as needed.\n'}, {'number': 2, 'created': '2016-10-13 19:52:46.000000000', 'files': [], 'web_link': 'https://opendev.org/openstack/os-api-ref/commit/51f160937524b5dd8842b025b56212e3d7c00c5d', 'message': 'Update basic api ref examples\n\nProvide a sample of api ref methods, parameters, text,\nand rst stanzas.  Include complex\nparameter types in request/response parameter stanzas.\n\nChange-Id: I07fceacec113c87e285cd37e7e92566af3abeead\nTODO: Update basic and warning tests as needed.\n'}, {'number': 3, 'created': '2016-10-17 14:25:51.000000000', 'files': [], 'web_link': 'https://opendev.org/openstack/os-api-ref/commit/ca11e8980c3b76e5527dd11529cc3329cc200d33', 'message': 'Update basic api ref example\n\nProvide a sample of methods, urls, parameters, text,\nand json examples.  Include sample of complex parameter types in\nrest_parameter stanzas.\n\nChange-Id: I07fceacec113c87e285cd37e7e92566af3abeead\n'}, {'number': 4, 'created': '2016-10-17 15:40:48.000000000', 'files': [], 'web_link': 'https://opendev.org/openstack/os-api-ref/commit/7a959740a3312cefdb98b9871b0d5e433e8457de', 'message': 'Update basic api ref example\n\nProvide a sample of methods, urls, parameters, text,\nand json examples.  Include sample of complex parameter types in\nrest_parameter stanzas.\n\nChange-Id: I07fceacec113c87e285cd37e7e92566af3abeead\n'}, {'number': 5, 'created': '2016-10-24 20:29:50.000000000', 'files': [], 'web_link': 'https://opendev.org/openstack/os-api-ref/commit/c2a9e9fdcd7f784284893d211d6858efecc5c1ba', 'message': 'Update basic api ref example\n\nProvide a sample of methods, urls, parameters, text,\nand json examples.  Include sample of complex parameter types in\nrest_parameter stanzas.\n\nChange-Id: I07fceacec113c87e285cd37e7e92566af3abeead\n'}, {'number': 6, 'created': '2016-10-31 18:44:32.000000000', 'files': [], 'web_link': 'https://opendev.org/openstack/os-api-ref/commit/265f1115514d81f90e1b2527c7e6748c4eba3e4e', 'message': 'Update basic api ref example\n\nProvide a sample of methods, urls, parameters, text,\nand json examples.  Include sample of complex parameter types in\nrest_parameter stanzas.\n\nChange-Id: I07fceacec113c87e285cd37e7e92566af3abeead\n'}, {'number': 7, 'created': '2017-01-17 18:08:40.000000000', 'files': ['os_api_ref/tests/test_basic_example.py', 'os_api_ref/tests/examples/basic/v2.1-server-response.json', 'os_api_ref/tests/examples/basic/index.rst', 'os_api_ref/tests/examples/basic/server-response.json', 'os_api_ref/tests/examples/basic/parameters.yaml', 'os_api_ref/tests/examples/basic/status.yaml', 'os_api_ref/tests/examples/basic/name-response.json'], 'web_link': 'https://opendev.org/openstack/os-api-ref/commit/c13d1e780fa7c8818d67e63f0840453cb57635a2', 'message': 'Update basic api ref example\n\nProvide a sample of methods, urls, parameters, text,\nand json examples.\n\nChange-Id: I07fceacec113c87e285cd37e7e92566af3abeead\n'}]",0,386032,c13d1e780fa7c8818d67e63f0840453cb57635a2,18,3,7,15293,,,0,"Update basic api ref example

Provide a sample of methods, urls, parameters, text,
and json examples.

Change-Id: I07fceacec113c87e285cd37e7e92566af3abeead
",git fetch https://review.opendev.org/openstack/os-api-ref refs/changes/32/386032/6 && git format-patch -1 --stdout FETCH_HEAD,"['os_api_ref/tests/examples/basic/index.rst', 'os_api_ref/tests/examples/basic/server-response.json', 'os_api_ref/tests/examples/basic/parameters.yaml', 'os_api_ref/tests/examples/basic/name-response.json']",4,58afed49b5c9108f8e5d6d7d8aa14643ad5138dd,doc-complex-types,"{ ""name"": ""name1"" } ",,372,5
openstack%2Fopenstack-ansible-galera_server~stable%2Fnewton~Ic23fad68b9ee383559695ab73d6447735f445f51,openstack/openstack-ansible-galera_server,stable/newton,Ic23fad68b9ee383559695ab73d6447735f445f51,Bring consistency to tags,MERGED,2017-01-18 10:53:16.000000000,2017-01-18 13:48:26.000000000,2017-01-18 13:48:26.000000000,"[{'_account_id': 3}, {'_account_id': 2799}, {'_account_id': 6816}]","[{'number': 1, 'created': '2017-01-18 10:53:16.000000000', 'files': ['tasks/main.yml', 'tasks/galera_install_yum.yml', 'tasks/galera_install_apt.yml'], 'web_link': 'https://opendev.org/openstack/openstack-ansible-galera_server/commit/b6b1bd5e35ec046ad8db177f2c3fbfdc6211798c', 'message': ""Bring consistency to tags\n\nIf we filtered this role by running only on tags config/install,\nthe task(s) changed here wouldn't be properly targeted.\n\nUnder ubuntu the galera server would run by default if only doing the\ninstall tag, where it should stay disabled.\n\nChange-Id: Ic23fad68b9ee383559695ab73d6447735f445f51\n(cherry picked from commit 2861c4df362bb64a21b51913847545e1861f8368)\n""}]",0,421821,b6b1bd5e35ec046ad8db177f2c3fbfdc6211798c,7,3,1,17068,,,0,"Bring consistency to tags

If we filtered this role by running only on tags config/install,
the task(s) changed here wouldn't be properly targeted.

Under ubuntu the galera server would run by default if only doing the
install tag, where it should stay disabled.

Change-Id: Ic23fad68b9ee383559695ab73d6447735f445f51
(cherry picked from commit 2861c4df362bb64a21b51913847545e1861f8368)
",git fetch https://review.opendev.org/openstack/openstack-ansible-galera_server refs/changes/21/421821/1 && git format-patch -1 --stdout FETCH_HEAD,"['tasks/main.yml', 'tasks/galera_install_yum.yml', 'tasks/galera_install_apt.yml']",3,b6b1bd5e35ec046ad8db177f2c3fbfdc6211798c,artifacts, - galera_server-config, tags: - galera-config - galera-config,16,5
openstack%2Fopenstack-ansible-os_gnocchi~stable%2Fnewton~I98ebd4a0b2d9bf3c353b4e972222187bd28a250f,openstack/openstack-ansible-os_gnocchi,stable/newton,I98ebd4a0b2d9bf3c353b4e972222187bd28a250f,Bring consistency to tags,MERGED,2017-01-18 10:34:21.000000000,2017-01-18 13:48:03.000000000,2017-01-18 13:48:03.000000000,"[{'_account_id': 3}, {'_account_id': 2799}, {'_account_id': 6816}]","[{'number': 1, 'created': '2017-01-18 10:34:21.000000000', 'files': ['tasks/main.yml'], 'web_link': 'https://opendev.org/openstack/openstack-ansible-os_gnocchi/commit/d8be70b3381d1b74ba7cc525005e22115b7cdb8d', 'message': 'Bring consistency to tags\n\nSome tags were not applied on the highest level and forced duplication.\nWe apply here our practices to have role_name-(config|install) [1].\n\n[1]: http://docs.openstack.org/developer/openstack-ansible/developer-docs/contribute.html#ansible-style-guide\n\nChange-Id: I98ebd4a0b2d9bf3c353b4e972222187bd28a250f\n(cherry picked from commit c0db507b037e2652db00e8be45c2c906cef643f9)\n'}]",0,421796,d8be70b3381d1b74ba7cc525005e22115b7cdb8d,7,3,1,17068,,,0,"Bring consistency to tags

Some tags were not applied on the highest level and forced duplication.
We apply here our practices to have role_name-(config|install) [1].

[1]: http://docs.openstack.org/developer/openstack-ansible/developer-docs/contribute.html#ansible-style-guide

Change-Id: I98ebd4a0b2d9bf3c353b4e972222187bd28a250f
(cherry picked from commit c0db507b037e2652db00e8be45c2c906cef643f9)
",git fetch https://review.opendev.org/openstack/openstack-ansible-os_gnocchi refs/changes/96/421796/1 && git format-patch -1 --stdout FETCH_HEAD,['tasks/main.yml'],1,d8be70b3381d1b74ba7cc525005e22115b7cdb8d,artifacts, - gnocchi-config - gnocchi-config - gnocchi-config - gnocchi-config, - gnocchi-install - gnocchi-install - gnocchi-install - gnocchi-install - gnocchi-install - gnocchi-install - gnocchi-install,4,7
openstack%2Fos-win~master~Ie78f6d2938d00c7bc6603796556a96550f7900f4,openstack/os-win,master,Ie78f6d2938d00c7bc6603796556a96550f7900f4,"Rename argument in iscsi_utils, breaking os-brick",MERGED,2017-01-18 12:21:49.000000000,2017-01-18 13:46:26.000000000,2017-01-18 13:46:26.000000000,"[{'_account_id': 3}, {'_account_id': 8213}, {'_account_id': 8543}]","[{'number': 1, 'created': '2017-01-18 12:21:49.000000000', 'files': ['os_win/tests/unit/utils/storage/initiator/test_iscsi_utils.py', 'os_win/utils/storage/initiator/iscsi_utils.py'], 'web_link': 'https://opendev.org/openstack/os-win/commit/7f832dc7ceed789354e32919ed475139b19fd61b', 'message': ""Rename argument in iscsi_utils, breaking os-brick\n\nBy mistake, os-brick passes 'rescan_attempts' instead of\n'retry_attempts' to the 'ensure_lun_available' method.\n\nThe os-brick patch adding this behavior has merged as our CI\nincorrectly passed.\n\nSince os-brick is the only place where this argument is used,\nwe'll rename it here in order to get this fix released faster,\nespecially considering that this also breaks our Nova driver.\n\nChange-Id: Ie78f6d2938d00c7bc6603796556a96550f7900f4\n""}]",0,421867,7f832dc7ceed789354e32919ed475139b19fd61b,11,3,1,8543,,,0,"Rename argument in iscsi_utils, breaking os-brick

By mistake, os-brick passes 'rescan_attempts' instead of
'retry_attempts' to the 'ensure_lun_available' method.

The os-brick patch adding this behavior has merged as our CI
incorrectly passed.

Since os-brick is the only place where this argument is used,
we'll rename it here in order to get this fix released faster,
especially considering that this also breaks our Nova driver.

Change-Id: Ie78f6d2938d00c7bc6603796556a96550f7900f4
",git fetch https://review.opendev.org/openstack/os-win refs/changes/67/421867/1 && git format-patch -1 --stdout FETCH_HEAD,"['os_win/tests/unit/utils/storage/initiator/test_iscsi_utils.py', 'os_win/utils/storage/initiator/iscsi_utils.py']",2,7f832dc7ceed789354e32919ed475139b19fd61b,," rescan_attempts=10, rescan_attempts=_DEFAULT_RESCAN_ATTEMPTS, for attempt in range(rescan_attempts + 1): if attempt <= rescan_attempts:"," retry_attempts=10, retry_attempts=_DEFAULT_RESCAN_ATTEMPTS, for attempt in range(retry_attempts + 1): if attempt <= retry_attempts:",6,6
openstack%2Fopenstack-ansible-repo_server~stable%2Fnewton~Ib44b2aa978df1c763d8c619a37d1025c3a90e6c1,openstack/openstack-ansible-repo_server,stable/newton,Ib44b2aa978df1c763d8c619a37d1025c3a90e6c1,Bring consistency to tags,MERGED,2017-01-18 11:56:26.000000000,2017-01-18 13:44:16.000000000,2017-01-18 13:44:16.000000000,"[{'_account_id': 3}, {'_account_id': 2799}, {'_account_id': 6816}]","[{'number': 1, 'created': '2017-01-18 11:56:26.000000000', 'files': ['tasks/repo_post_install.yml', 'tasks/main.yml', 'tasks/repo_cacher.yml'], 'web_link': 'https://opendev.org/openstack/openstack-ansible-repo_server/commit/1c0f2aafb6cd19772901d4792cef5507614c95ac', 'message': 'Bring consistency to tags\n\nSome tags were not applied on the highest level and forced duplication.\nWe apply here our practices to have role_name-(config|install) [1].\n\n[1]: http://docs.openstack.org/developer/openstack-ansible/developer-docs/contribute.html#ansible-style-guide\n\nChange-Id: Ib44b2aa978df1c763d8c619a37d1025c3a90e6c1\n(manual backport of https://review.openstack.org/#/c/419986)\n'}]",0,421852,1c0f2aafb6cd19772901d4792cef5507614c95ac,7,3,1,17068,,,0,"Bring consistency to tags

Some tags were not applied on the highest level and forced duplication.
We apply here our practices to have role_name-(config|install) [1].

[1]: http://docs.openstack.org/developer/openstack-ansible/developer-docs/contribute.html#ansible-style-guide

Change-Id: Ib44b2aa978df1c763d8c619a37d1025c3a90e6c1
(manual backport of https://review.openstack.org/#/c/419986)
",git fetch https://review.opendev.org/openstack/openstack-ansible-repo_server refs/changes/52/421852/1 && git format-patch -1 --stdout FETCH_HEAD,"['tasks/repo_post_install.yml', 'tasks/main.yml', 'tasks/repo_cacher.yml']",3,1c0f2aafb6cd19772901d4792cef5507614c95ac,artifacts, tags: - repo_server-install tags: - repo_server-install tags: - repo_server-install tags: - repo_server-install tags: - repo_server-install tags: - repo_server-install tags: - repo_server-config,,37,1
